CodigoFaculdade;NomeFaculdade;CodigoCurso;NomeCurso;Grau;TotalDesempregados;TotalDiplomados
0300;Universidade de Aveiro;0290;Engenharia e Gestão Industrial;LICENCIATURA;33;370
0300;Universidade de Aveiro;0302;Engenharia de Materiais;LICENCIATURA;7;66
0300;Universidade de Aveiro;0304;Engenharia Mecânica;LICENCIATURA;5;184
0300;Universidade de Aveiro;0331;Engenharia Química;LICENCIATURA;14;161
0300;Universidade de Aveiro;0374;Física;LICENCIATURA;2;18
0300;Universidade de Aveiro;0383;Física e Química (Ensino de);LICENCIATURA;68;220
0300;Universidade de Aveiro;0416;Gestão;LICENCIATURA;6;67
0300;Universidade de Aveiro;0448;Gestão e Planeamento em Turismo;LICENCIATURA;16;136
0300;Universidade de Aveiro;0494;Inglês e Alemão (Ensino de);LICENCIATURA;14;136
0300;Universidade de Aveiro;0560;Matemática (Ensino de);LICENCIATURA;78;276
0300;Universidade de Aveiro;0568;Matemática Aplicada e Computação;LICENCIATURA;12;116
0300;Universidade de Aveiro;0592;Música (Ensino de);LICENCIATURA;5;206
0300;Universidade de Aveiro;0596;Novas Tecnologias da Comunicação;LICENCIATURA;52;207
0300;Universidade de Aveiro;0623;Planeamento Regional e Urbano;LICENCIATURA;17;128
0300;Universidade de Aveiro;0625;Educação de Infância;LICENCIATURA;34;362
0300;Universidade de Aveiro;0630;Português e Francês (Ensino de);LICENCIATURA;34;154
0300;Universidade de Aveiro;0633;Português e Inglês (Ensino de);LICENCIATURA;12;172
0300;Universidade de Aveiro;0636;Português, Latim e Grego (Ensino de);LICENCIATURA;32;139
0300;Universidade de Aveiro;0663;Electrónica e Informática (Ensino de);LICENCIATURA;2;66
0300;Universidade de Aveiro;0705;Química;LICENCIATURA;9;192
0300;Universidade de Aveiro;0707;Ensino Básico - 1.º Ciclo;LICENCIATURA;57;356
0300;Universidade de Aveiro;1043;Bioquímica e Química Alimentar;LICENCIATURA;7;127
0300;Universidade de Aveiro;1497;Línguas e Administração Editorial;LICENCIATURA;1;8
0300;Universidade de Aveiro;1525;Línguas e Relações Empresariais;LICENCIATURA;10;134
