CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0300;Universidade de Aveiro;0560;Matemática (Ensino de);LICENCIATURA;145;;;;72;9;15;96;631
0300;Universidade de Aveiro;0568;Matemática Aplicada e Computação;LICENCIATURA;461;;;;5;1;7;13;176
0300;Universidade de Aveiro;0592;Música (Ensino de);LICENCIATURA;146;;1;;2;2;1;6;313
0300;Universidade de Aveiro;0596;Novas Tecnologias da Comunicação;LICENCIATURA;213;2;1;1;29;9;30;72;310
0300;Universidade de Aveiro;0623;Planeamento Regional e Urbano;LICENCIATURA;581;;1;1;9;4;12;27;344
0300;Universidade de Aveiro;0625;Educação de Infância;LICENCIATURA;143;;1;;20;3;15;39;448
0300;Universidade de Aveiro;0630;Português e Francês (Ensino de);LICENCIATURA;145;;;;50;7;8;65;867
0300;Universidade de Aveiro;0633;Português e Inglês (Ensino de);LICENCIATURA;145;;;;19;7;8;34;632
0300;Universidade de Aveiro;0636;Português, Latim e Grego (Ensino de);LICENCIATURA;145;;;;22;4;18;44;375
0300;Universidade de Aveiro;0656;Professores do 1.º ciclo do Ensino Básico;BACHARELATO;144;;;;;1;1;2;28
0300;Universidade de Aveiro;0663;Electrónica e Informática (Ensino de);LICENCIATURA;146;;;;1;;1;2;85
0300;Universidade de Aveiro;0705;Química;LICENCIATURA;442;;;;9;4;4;17;544
0300;Universidade de Aveiro;0707;Ensino Básico - 1.º Ciclo;LICENCIATURA;144;;1;;41;9;14;65;427
0300;Universidade de Aveiro;1043;Bioquímica e Química Alimentar;LICENCIATURA;442;;;;3;3;1;7;127
0300;Universidade de Aveiro;1497;Línguas e Administração Editorial;LICENCIATURA;347;;;;;1;;1;8
0300;Universidade de Aveiro;1525;Línguas e Relações Empresariais;LICENCIATURA;347;;;;3;4;3;10;134
0300;Universidade de Aveiro;1613;Línguas e Tradução Especializada;LICENCIATURA;222;;;1;;;;1;14
0300;Universidade de Aveiro;1615;Meteorologia e Oceanografia Física;LICENCIATURA;443;;;1;;;;1;26
0300;Universidade de Aveiro;1640;Línguas, Literaturas e Culturas;LICENCIATURA;222;;;1;1;;2;4;19
0300;Universidade de Aveiro;1700;Química Industrial e Gestão;LICENCIATURA;524;;;;;1;;1;71
0300;Universidade de Aveiro;1772;Tecnologias de Informação e Comunicação;LICENCIATURA;481;1;;2;6;1;3;13;85
0300;Universidade de Aveiro;2855;Educadores de Infância;LICENCIATURA;143;;;;2;1;1;4;206
0300;Universidade de Aveiro;2857;Professores do 1.º ciclo do Ensino Básico;LICENCIATURA;144;;;;4;;1;5;205
0300;Universidade de Aveiro;4011;Activação do Desenvolvimento Psicológico;MESTRADO;311;;;;1;;;1;58
0300;Universidade de Aveiro;4044;Ciências e Engenharia de Materiais;MESTRADO;543;;1;;1;1;;3;42
0300;Universidade de Aveiro;4078;Ciências da Educação;MESTRADO;142;;;;4;1;;5;95
0300;Universidade de Aveiro;4084;Ciências das Zonas Costeiras;MESTRADO;443;;;;;1;3;4;98
0300;Universidade de Aveiro;4117;Contabilidade e Auditoria;MESTRADO;344;;;;;1;;1;26
0300;Universidade de Aveiro;4159;Economia de Empresa;MESTRADO;314;;;;1;;;1;15
0300;Universidade de Aveiro;4198;Engenharia Electrónica e de Telecomunicações;MESTRADO;523;1;1;;3;2;1;8;231
0300;Universidade de Aveiro;4210;Engenharia Mecânica;MESTRADO;521;;;1;3;;;4;28
