CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0300;Universidade de Aveiro;9215;Novas Tecnologias da Comunicação;LICENCIATURA;213;15;2;2;10;3;5;37;332;
0300;Universidade de Aveiro;9219;Psicologia;LICENCIATURA;311;;;1;;1;2;4;92;
0300;Universidade de Aveiro;9223;Química;LICENCIATURA;442;1;;1;1;1;;4;55;
0300;Universidade de Aveiro;9250;Tecnologias de Informação e Comunicação;LICENCIATURA;481;;;2;1;;;3;48;
0300;Universidade de Aveiro;9251;Tecnologias e Sistemas de Informação;LICENCIATURA;481;1;;;;;;1;22;
0300;Universidade de Aveiro;9252;Tradução;LICENCIATURA;222;6;2;;6;4;3;21;121;
0300;Universidade de Aveiro;9254;Turismo;LICENCIATURA;812;4;1;1;5;2;4;17;111;
0300;Universidade de Aveiro;9266;Bioquímica e Química dos Alimentos;MESTRADO;442;;;;1;;1;2;15;
0300;Universidade de Aveiro;9267;Ciência Política;MESTRADO;313;;1;;;;;1;23;
0300;Universidade de Aveiro;9273;Ciências do Mar e das Zonas Costeiras;MESTRADO;443;1;;;;;;1;20;
0300;Universidade de Aveiro;9277;Design;MESTRADO;214;3;;1;4;1;;9;56;
0300;Universidade de Aveiro;9280;Economia;MESTRADO;314;1;2;1;2;1;1;8;91;
0300;Universidade de Aveiro;9295;Gestão;MESTRADO;345;2;2;;3;;4;11;111;
0300;Universidade de Aveiro;9316;Métodos Biomoleculares;MESTRADO;421;;;;3;;;3;20;
0300;Universidade de Aveiro;9317;Microbiologia;MESTRADO;421;;;1;;1;1;3;64;
0300;Universidade de Aveiro;9327;Química Analítica e Controlo de Qualidade;MESTRADO;442;;;1;1;;;2;40;
0300;Universidade de Aveiro;9335;Toxicologia e Ecotoxicologia;MESTRADO;421;;;;;;1;1;33;
0300;Universidade de Aveiro;9351;Ciências Biomédicas;LICENCIATURA;421;1;1;;;;;2;123;
0300;Universidade de Aveiro;9360;Engenharia Civil;MESTRADO;582;12;4;2;6;3;2;29;102;
0300;Universidade de Aveiro;9361;Engenharia de Computadores e Telemática;MESTRADO;523;2;1;;2;;;5;163;
0300;Universidade de Aveiro;9365;Engenharia Electrónica e Telecomunicações;MESTRADO;523;4;3;;1;;1;9;417;
0300;Universidade de Aveiro;9368;Engenharia Física;MESTRADO;441;1;1;1;1;;;4;50;
0300;Universidade de Aveiro;9369;Engenharia Mecânica;MESTRADO;521;15;1;;5;1;2;24;266;
0300;Universidade de Aveiro;9392;Biologia Molecular e Celular;MESTRADO;421;3;1;;2;;1;7;80;
0300;Universidade de Aveiro;9396;Bioquímica;MESTRADO;421;8;3;5;1;;1;18;58;
0300;Universidade de Aveiro;9399;Biotecnologia;MESTRADO;524;10;2;1;1;1;;15;69;
0300;Universidade de Aveiro;9411;Ecologia, Biodiversidade e Gestão de Ecossistemas;MESTRADO;422;;;;2;;;2;40;
0300;Universidade de Aveiro;9415;Engenharia de Materiais;MESTRADO;543;1;2;1;1;;1;6;53;
0300;Universidade de Aveiro;9417;Engenharia do Ambiente;MESTRADO;851;13;7;8;15;3;2;48;232;
0300;Universidade de Aveiro;9420;Engenharia e Gestão Industrial;MESTRADO;529;3;3;2;9;3;2;22;226;
0300;Universidade de Aveiro;9422;Engenharia Física;MESTRADO;441;;;;2;;;2;39;
0300;Universidade de Aveiro;9423;Engenharia Geológica;MESTRADO;443;1;;;;;1;2;31;
0300;Universidade de Aveiro;9437;Matemática e Aplicações;MESTRADO;461;;;;1;;;1;57;
0300;Universidade de Aveiro;9442;Química;MESTRADO;442;4;2;;1;1;;8;43;
0300;Universidade de Aveiro;9461;Engenharia Química;MESTRADO;524;6;4;1;6;;5;22;139;
0300;Universidade de Aveiro;9463;Psicologia;MESTRADO;311;2;2;2;2;1;;9;31;
0300;Universidade de Aveiro;9569;Engenharia Civil;MESTRADO;582;2;;1;4;3;1;11;123;
0300;Universidade de Aveiro;9577;Ciências de Engenharia de Computadores e Telemática;LICENCIATURA;523;;1;;1;;1;3;201;
0300;Universidade de Aveiro;9578;Ciências de Engenharia Electrónica e Telecomunicações;LICENCIATURA;523;4;1;;3;1;2;11;358;
0300;Universidade de Aveiro;9579;Ciências de Engenharia Mecânica;LICENCIATURA;521;4;1;;9;;;14;276;
0300;Universidade de Aveiro;9580;Ciências de Engenharia Química;LICENCIATURA;524;1;;2;1;2;2;8;120;
0300;Universidade de Aveiro;9704;Ciências da Engenharia Civil;LICENCIATURA;582;;;2;;;1;3;149;
0300;Universidade de Aveiro;9804;Técnico Superior de Justiça;LICENCIATURA;380;15;3;4;10;1;4;37;203;
0300;Universidade de Aveiro;9853;Educação Básica;LICENCIATURA;144;7;2;;2;1;2;14;172;
0300;Universidade de Aveiro;M296;Biologia Aplicada;MESTRADO;421;4;1;3;2;3;;13;109;
0300;Universidade de Aveiro;M297;Didáctica;MESTRADO;142;;;;1;;;1;41;
0300;Universidade de Aveiro;M298;Governação, Competitividade e Políticas Públicas;MESTRADO;313;1;1;;;1;;3;9;
0300;Universidade de Aveiro;M300;Psicologia Forense;MESTRADO;311;3;1;1;;1;2;8;33;
0300;Universidade de Aveiro;M460;Gestão e Políticas Ambientais;MESTRADO;852;;1;;;;;1;0;
0300;Universidade de Aveiro;M532;Engenharia e Design do Produto;MESTRADO;214;2;;;;;;2;0;
0400;Universidade da Beira Interior;0063;Bioquímica;LICENCIATURA;421;1;;;4;;;5;163;
0400;Universidade da Beira Interior;0076;Ciências da Comunicação;LICENCIATURA;321;2;;3;19;9;18;51;443;
0400;Universidade da Beira Interior;0086;Ciências do Desporto;LICENCIATURA;813;;;1;12;6;3;22;300;
0400;Universidade da Beira Interior;0112;Comunicação Social;LICENCIATURA;321;;;;3;2;5;10;145;
0400;Universidade da Beira Interior;0156;Economia;LICENCIATURA;314;;1;1;12;2;6;22;439;
