Código da instituição;Código do curso;Nome da instituição;Nome do curso;Grau académico;Vagas Iniciais;Estudantes colocados;Nota de candidatura do último colocado pelo contingente geral;Vagas sobrantes
0604;9853;Universidade de Évora - Escola de Ciências Sociais;Educação Básica;L1;20;22;105,0;0
0604;L047;Universidade de Évora - Escola de Ciências Sociais;Línguas e Literaturas;L1;35;38;115,9;0
0901;9813;Universidade Nova de Lisboa - Faculdade de Ciências Médicas;Medicina;MI;231;233;179,2;0
0902;8109;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Sociologia (regime pós-laboral);L1;25;25;115,5;0
0902;9006;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Arqueologia;L1;30;31;115,0;0
0902;9020;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Ciência Política e Relações Internacionais;L1;81;81;166,5;0
0902;9023;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Ciências da Comunicação;L1;95;96;167,5;0
0902;9040;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Ciências da Linguagem;L1;20;21;123,5;0
0902;9046;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Ciências Musicais;L1;49;49;120,0;0
0902;9139;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Filosofia;L1;27;27;123,0;0
0902;9145;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Geografia e Planeamento Regional;L1;62;63;127,0;0
0902;9181;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;História;L1;45;45;137,5;0
0902;9182;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;História da Arte;L1;46;46;111,5;0
0902;9204;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Línguas, Literaturas e Culturas;L1;82;84;149,5;0
0902;9240;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Sociologia;L1;55;55;135,5;0
0902;9252;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Tradução;L1;60;64;153,5;0
0902;9448;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Antropologia;L1;48;49;115,0;0
0902;9917;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Estudos Portugueses;L1;20;20;117,5;0
0903;8036;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Conservação - Restauro;L1;25;25;132,8;0
0903;8334;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia de Micro e Nanotecnologias;MI;55;55;145,2;0
0903;9015;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Bioquímica;L1;100;100;146,4;0
0903;9116;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Geológica;L1;20;15;106,6;5
0903;9209;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Matemática;L1;30;30;149,2;0
0903;9224;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Química Aplicada;L1;25;25;135,6;0
0903;9348;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Biologia Celular e Molecular;L1;70;70;158,6;0
0903;9359;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Biomédica;MI;64;64;171,4;0
0903;9360;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Civil;MI;60;57;112,6;3
0903;9363;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia de Materiais;MI;25;25;144,0;0
0903;9367;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Eletrotécnica e de Computadores;MI;156;156;140,4;0
0903;9368;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Física;MI;25;25;156,2;0
0903;9369;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Mecânica;MI;85;85;155,2;0
0903;9370;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Química e Bioquímica;Mi;75;75;140,0;0
0903;9508;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia do Ambiente;MI;65;65;115,4;0
0903;9509;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia e Gestão Industrial;MI;60;60;151,0;0
0903;G005;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Informática;MI;170;170;151,8;0
0904;9081;Universidade Nova de Lisboa - Faculdade de Economia;Economia;L1;210;210;169,5;0
0904;9147;Universidade Nova de Lisboa - Faculdade de Economia;Gestão;L1;210;210;173,0;0
0906;8259;Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação;Sistemas e Tecnologias de Informação;L1;40;40;152,4;0
0906;9155;Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação;Gestão de Informação;L1;60;60;158,9;0
0911;9078;Universidade Nova de Lisboa - Faculdade de Direito;Direito;L1;100;100;157,0;0
1000;8005;Universidade do Minho;Marketing (regime pós-laboral);L1;50;50;137,2;0
1000;8183;Universidade do Minho;Geografia e Planeamento;L1;40;40;119,2;0
1000;8184;Universidade do Minho;Optometria e Ciências da Visão;L1;60;57;108,0;3
1000;8358;Universidade do Minho;Direito (regime pós-laboral);L1;16;16;155,0;0
1000;8427;Universidade do Minho;Educação (regime pós-laboral);L1;25;25;108,4;0
1000;8433;Universidade do Minho;Negócios Internacionais (regime pós-laboral);L1;28;29;125,0;0
1000;8494;Universidade do Minho;Design de Produto;L1;33;33;134,0;0
1000;9002;Universidade do Minho;Administração Pública;L1;41;41;144,0;0
1000;9006;Universidade do Minho;Arqueologia;L1;20;11;111,0;9
1000;9015;Universidade do Minho;Bioquímica;L1;65;65;130,0;0
1000;9019;Universidade do Minho;Ciência Política;L1;30;30;146,2;0
1000;9023;Universidade do Minho;Ciências da Comunicação;L1;67;67;155,6;0
1000;9078;Universidade do Minho;Direito;L1;110;110;159,0;0
1000;9081;Universidade do Minho;Economia;L1;79;79;164,6;0
1000;9134;Universidade do Minho;Estudos Culturais;L1;20;20;133,6;0
1000;9138;Universidade do Minho;Estudos Portugueses e Lusófonos;L1;34;35;104,6;0
1000;9139;Universidade do Minho;Filosofia;L1;25;25;110,2;0
1000;9141;Universidade do Minho;Física;L1;20;20;123,4;0
1000;9146;Universidade do Minho;Geologia;L1;25;13;100,8;12
1000;9147;Universidade do Minho;Gestão;L1;73;73;162,6;0
1000;9181;Universidade do Minho;História;L1;35;35;126,0;0
1000;9192;Universidade do Minho;Línguas Aplicadas;L1;45;45;158,4;0
1000;9193;Universidade do Minho;Línguas e Culturas Orientais;L1;30;32;152,2;0
1000;9195;Universidade do Minho;Línguas e Literaturas Europeias;L1;59;60;143,0;0
1000;9209;Universidade do Minho;Matemática;L1;26;26;121,4;0
1000;9223;Universidade do Minho;Química;L1;20;11;120,8;9
1000;9229;Universidade do Minho;Relações Internacionais;L1;65;65;151,4;0
1000;9240;Universidade do Minho;Sociologia;L1;57;57;135,6;0
1000;9243;Universidade do Minho;Teatro;L1;25;25;128,4;0
1000;9257;Universidade do Minho;Arquitetura;MI;56;56;147,5;0
1000;9353;Universidade do Minho;Educação;L1;47;50;124,4;0
1000;9358;Universidade do Minho;Engenharia Biológica;MI;50;50;129,4;0
1000;9359;Universidade do Minho;Engenharia Biomédica;MI;65;65;173,2;0
1000;9360;Universidade do Minho;Engenharia Civil;MI;40;27;111,4;13
1000;9363;Universidade do Minho;Engenharia de Materiais;MI;22;22;145,6;0
1000;9364;Universidade do Minho;Engenharia de Polímeros;MI;32;32;128,0;0
1000;9366;Universidade do Minho;Engenharia Eletrónica Industrial e Computadores;MI;87;87;136,4;0
1000;9368;Universidade do Minho;Engenharia Física;MI;25;25;147,6;0
1000;9369;Universidade do Minho;Engenharia Mecânica;MI;80;80;160,2;0
1000;9371;Universidade do Minho;Engenharia Têxtil;MI;20;20;144,8;0
1000;9379;Universidade do Minho;Ciências do Ambiente;L1;35;36;117,6;0
1000;9381;Universidade do Minho;Estatística Aplicada;L1;20;20;124,6;0
1000;9397;Universidade do Minho;Ciências da Computação;L1;52;52;138,8;0
1000;9499;Universidade do Minho;Design e Marketing de Moda;L1;30;30;155,6;0
1000;9509;Universidade do Minho;Engenharia e Gestão Industrial;MI;50;50;171,0;0
1000;9555;Universidade do Minho;Psicologia;MI;67;67;142,0;0
1000;9688;Universidade do Minho;Biologia Aplicada;L1;53;53;136,8;0
