NomeFaculdade;CodigoFaculdade;NomeCurso;CodigoCurso;Grau;TotalDesempregados;TotalDiplomados
Universidade de Aveiro;0300;Design;9069;L;42;246
Universidade de Aveiro;0300;Economia;9081;L;34;278
Universidade de Aveiro;0300;Engenharia de Materiais;9096;L;2;85
Universidade de Aveiro;0300;Engenharia do Ambiente;9099;L;17;219
Universidade de Aveiro;0300;Engenharia e Gestão Industrial;9104;L;11;339
Universidade de Aveiro;0300;Engenharia Física;9113;L;1;37
Universidade de Aveiro;0300;Engenharia Geológica;9116;L;1;52
Universidade de Aveiro;0300;Estudos Clássicos;9133;L;1;4
Universidade de Aveiro;0300;Gestão;9147;L;20;222
Universidade de Aveiro;0300;Línguas e Estudos Editoriais;9194;L;11;72
Universidade de Aveiro;0300;Línguas e Relações Empresariais;9196;L;22;204
Universidade de Aveiro;0300;Línguas, Literaturas e Culturas;9204;L;14;111
Universidade de Aveiro;0300;Matemática;9209;L;2;69
Universidade de Aveiro;0300;Meteorologia, Oceanografia e Geofísica;9212;L;2;44
Universidade de Aveiro;0300;Música;9214;L;1;122
Universidade de Aveiro;0300;Novas Tecnologias da Comunicação;9215;L;37;332
Universidade de Aveiro;0300;Psicologia;9219;L;4;92
Universidade de Aveiro;0300;Química;9223;L;4;55
Universidade de Aveiro;0300;Tecnologias de Informação e Comunicação;9250;L;3;48
Universidade de Aveiro;0300;Tecnologias e Sistemas de Informação;9251;L;1;22
Universidade de Aveiro;0300;Tradução;9252;L;21;121
Universidade de Aveiro;0300;Turismo;9254;L;17;111
Universidade de Aveiro;0300;Bioquímica e Química dos Alimentos;9266;M;2;15
Universidade de Aveiro;0300;Ciência Política;9267;M;1;23
Universidade de Aveiro;0300;Ciências do Mar e das Zonas Costeiras;9273;M;1;20
Universidade de Aveiro;0300;Design;9277;M;9;56
Universidade de Aveiro;0300;Economia;9280;M;8;91
Universidade de Aveiro;0300;Gestão;9295;M;11;111
Universidade de Aveiro;0300;Métodos Biomoleculares;9316;M;3;20
Universidade de Aveiro;0300;Microbiologia;9317;M;3;64
Universidade de Aveiro;0300;Química Analítica e Controlo de Qualidade;9327;M;2;40
Universidade de Aveiro;0300;Toxicologia e Ecotoxicologia;9335;M;1;33
Universidade de Aveiro;0300;Ciências Biomédicas;9351;L;2;123
Universidade de Aveiro;0300;Engenharia Civil;9360;M;29;102
Universidade de Aveiro;0300;Engenharia de Computadores e Telemática;9361;M;5;163
Universidade de Aveiro;0300;Engenharia Electrónica e Telecomunicações;9365;M;9;417
Universidade de Aveiro;0300;Engenharia Física;9368;M;4;50
Universidade de Aveiro;0300;Engenharia Mecânica;9369;M;24;266
Universidade de Aveiro;0300;Biologia Molecular e Celular;9392;M;7;80
Universidade de Aveiro;0300;Bioquímica;9396;M;18;58
Universidade de Aveiro;0300;Biotecnologia;9399;M;15;69
Universidade de Aveiro;0300;Ecologia, Biodiversidade e Gestão de Ecossistemas;9411;M;2;40
Universidade de Aveiro;0300;Engenharia de Materiais;9415;M;6;53
Universidade de Aveiro;0300;Engenharia do Ambiente;9417;M;48;232
Universidade de Aveiro;0300;Engenharia e Gestão Industrial;9420;M;22;226
Universidade de Aveiro;0300;Engenharia Física;9422;M;2;39
Universidade de Aveiro;0300;Engenharia Geológica;9423;M;2;31
Universidade de Aveiro;0300;Matemática e Aplicações;9437;M;1;57
Universidade de Aveiro;0300;Química;9442;M;8;43
Universidade de Aveiro;0300;Engenharia Química;9461;M;22;139
Universidade de Aveiro;0300;Psicologia;9463;M;9;31
Universidade de Aveiro;0300;Engenharia Civil;9569;M;11;123
Universidade de Aveiro;0300;Ciências de Engenharia de Computadores e Telemática;9577;L;3;201
Universidade de Aveiro;0300;Ciências de Engenharia Electrónica e Telecomunicações;9578;L;11;358
Universidade de Aveiro;0300;Ciências de Engenharia Mecânica;9579;L;14;276
Universidade de Aveiro;0300;Ciências de Engenharia Química;9580;L;8;120
Universidade de Aveiro;0300;Ciências da Engenharia Civil;9704;L;3;149
Universidade de Aveiro;0300;Técnico Superior de Justiça;9804;L;37;203
Universidade de Aveiro;0300;Educação Básica;9853;L;14;172
Universidade de Aveiro;0300;Biologia Aplicada;M296;M;13;109
Universidade de Aveiro;0300;Didáctica;M297;M;1;41
Universidade de Aveiro;0300;Governação, Competitividade e Políticas Públicas;M298;M;3;9
Universidade de Aveiro;0300;Psicologia Forense;M300;M;8;33
Universidade de Aveiro;0300;Gestão e Políticas Ambientais;M460;M;1;0
Universidade de Aveiro;0300;Engenharia e Design do Produto;M532;M;2;0
Universidade da Beira Interior;0400;Bioquímica;0063;L;5;163
Universidade da Beira Interior;0400;Ciências da Comunicação;0076;L;32;213
Universidade da Beira Interior;0400;Ciências do Desporto;0086;L;21;243
Universidade da Beira Interior;0400;Economia;0156;L;16;270
Universidade da Beira Interior;0400;Engenharia Civil;0233;L;37;444
Universidade da Beira Interior;0400;Engenharia Electromecânica;0241;L;3;100
Universidade da Beira Interior;0400;Engenharia Electrotécnica;0248;L;2;40
Universidade da Beira Interior;0400;Engenharia Informática;0292;L;4;44
Universidade da Beira Interior;0400;Engenharia Mecânica;0304;L;1;38
Universidade da Beira Interior;0400;Engenharia do Papel;0323;L;1;18
Universidade da Beira Interior;0400;Engenharia da Produção e Gestão Industrial;0327;L;7;80
Universidade da Beira Interior;0400;Engenharia Química;0331;L;5;28
Universidade da Beira Interior;0400;Engenharia Têxtil;0344;L;5;61
Universidade da Beira Interior;0400;Filosofia;0360;L;4;40
Universidade da Beira Interior;0400;Física (Ensino de);0375;L;4;23
Universidade da Beira Interior;0400;Física Aplicada;0377;L;1;1
Universidade da Beira Interior;0400;Física e Química (Ensino de);0383;L;12;67
Universidade da Beira Interior;0400;Gestão;0416;L;23;389
Universidade da Beira Interior;0400;Informática (Ensino de);0480;L;9;62
Universidade da Beira Interior;0400;Matemática (Ensino de);0560;L;28;141
