NomeFaculdade;CodigoFaculdade;NomeCurso;CodigoCurso;Grau;CNAEF_3D_Nome;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A2015_Total;TotalDesempregados;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;Dip_2014;TotalDiplomados
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Portugueses;0530;L;Língua e Literatura Materna;1;0;0;1;0;0;0;0;0;0;2;16;19;16;6;4;;;;;;61
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Espanhóis;0534;L;Línguas e Literaturas Estrangeiras;0;1;0;0;0;0;0;0;0;0;1;1;8;6;1;1;;;;;;17
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;0536;L;Línguas e Literaturas Estrangeiras;1;0;0;1;0;0;0;0;0;0;2;5;1;4;;2;;;;;;12
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;0538;L;Línguas e Literaturas Estrangeiras;0;0;1;0;0;0;0;0;0;0;1;21;11;9;4;1;;;;;;46
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Psicologia;0695;L;Psicologia;3;2;6;8;0;0;0;0;0;0;19;39;52;36;35;69;;;;;;231
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Património Cultural;0756;L;História e Arqueologia;1;2;2;0;0;0;0;0;0;0;5;14;20;19;22;;;;;;;75
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Estudos Portugueses;0867;L;Língua e Literatura Materna;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Ciências da Educação;4078;M;Ciências da Educação;0;0;0;0;1;0;0;0;0;0;1;;19;22;22;9;5;;;;;77
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Gestão Cultural;4471;M;Sociologia e Outros Estudos;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;1
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Linguística;4576;M;Línguas e Literaturas Estrangeiras;0;1;0;0;0;0;0;0;0;0;1;;;1;2;2;1;;;;;6
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Literatura;4591;M;História e Arqueologia;0;0;0;0;2;0;0;0;0;0;2;8;4;3;13;2;3;;;;;33
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Psicologia da Educação;4755;M;Ciências da Educação;0;0;0;1;0;0;0;0;0;0;1;;10;1;2;7;3;;;;;23
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Psicologia;4756;M;Psicologia;0;0;1;0;1;0;0;0;0;0;2;1;2;11;20;16;19;;;;;69
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Ciências da Educação;5140;D;Ciências da Educação;0;0;0;0;1;0;0;0;0;0;1;;1;1;;;1;2;3;1;;9
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Arqueologia;6011;M;História e Arqueologia;0;0;0;0;0;0;0;0;0;1;1;;;;;3;2;1;2;3;6;17
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Comunicação, Cultura e Artes;6281;M;Artes;0;0;0;0;0;0;0;1;1;0;2;;;;;;1;11;1;10;6;29
